"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"24/05/2024","16.045,0","16.102,3","16.121,0","16.026,0","","-0,36%"
"23/05/2024","16.102,3","16.048,0","16.102,3","16.018,3","","0,70%"
"22/05/2024","15.990,0","15.990,0","16.010,0","15.967,5","","0,00%"
"21/05/2024","15.990,0","16.040,0","16.042,5","15.994,5","","0,13%"
"20/05/2024","15.970,0","15.960,0","15.987,5","15.960,0","","0,13%"
"17/05/2024","15.950,0","15.960,0","15.988,5","15.945,0","","0,19%"
"16/05/2024","15.920,0","15.922,5","15.960,0","15.912,5","","-0,66%"
"15/05/2024","16.025,0","16.080,0","16.095,0","16.026,5","","-0,40%"
"14/05/2024","16.090,0","16.130,0","16.141,5","16.100,0","","0,09%"
"13/05/2024","16.075,0","16.070,0","16.096,5","16.067,5","","0,10%"
"10/05/2024","16.058,9","16.036,5","16.080,0","16.009,7","","0,21%"
"09/05/2024","16.026,0","16.080,5","16.083,3","16.014,8","","-0,09%"
"08/05/2024","16.040,0","16.090,0","16.095,0","16.045,0","","0,00%"
"07/05/2024","16.040,0","16.065,0","16.070,5","16.044,5","","0,12%"
"06/05/2024","16.020,0","15.985,0","16.032,5","15.980,0","","-0,37%"
"03/05/2024","16.080,0","16.075,0","16.107,5","16.072,5","","-0,62%"
"02/05/2024","16.180,0","16.250,0","16.250,0","16.185,0","","-0,08%"
"01/05/2024","16.193,6","16.279,0","16.280,5","16.167,3","","-0,38%"
"30/04/2024","16.255,0","16.265,0","16.282,5","16.259,5","","0,03%"
"29/04/2024","16.250,0","16.237,5","16.265,0","16.229,5","","0,28%"
"26/04/2024","16.205,0","16.200,0","16.229,5","16.197,5","","0,12%"
"25/04/2024","16.185,0","16.205,0","16.223,5","16.179,0","","0,22%"
"24/04/2024","16.150,0","16.150,0","16.180,0","16.145,0","","-0,40%"
"23/04/2024","16.215,0","16.245,0","16.252,5","16.220,0","","-0,09%"
"22/04/2024","16.230,0","16.217,5","16.245,0","16.207,5","","-0,12%"
"19/04/2024","16.250,0","16.265,0","16.290,0","16.255,0","","0,49%"
"18/04/2024","16.170,0","16.185,0","16.195,0","16.155,0","","-0,28%"
"17/04/2024","16.215,0","16.235,0","16.272,5","16.210,0","","0,28%"
"16/04/2024","16.170,0","16.075,0","16.210,0","16.072,5","","0,33%"
"15/04/2024","16.116,7","16.118,0","16.138,0","16.050,8","","0,00%"
"12/04/2024","16.117,0","16.030,5","16.161,3","15.996,0","","0,54%"
"11/04/2024","16.031,0","16.002,0","16.036,5","15.950,5","","0,21%"
"10/04/2024","15.998,0","15.900,0","16.002,0","15.826,0","","0,62%"
"09/04/2024","15.899,0","15.925,0","15.925,0","15.833,0","","-0,16%"
"08/04/2024","15.925,0","15.888,0","15.928,0","15.867,0","","0,54%"
"05/04/2024","15.840,0","15.907,5","15.916,0","15.842,5","","-0,31%"
"04/04/2024","15.890,0","15.937,5","15.937,5","15.890,0","","-0,16%"
"03/04/2024","15.915,0","15.930,0","15.940,0","15.905,0","","0,13%"
"02/04/2024","15.895,0","15.947,5","15.965,0","15.897,0","","0,06%"
"01/04/2024","15.885,0","15.875,0","15.920,0","15.872,5","","0,03%"
"29/03/2024","15.880,0","15.891,0","15.909,3","15.858,5","","0,19%"
"28/03/2024","15.850,0","15.880,0","15.894,0","15.855,0","","0,00%"
"27/03/2024","15.850,0","15.830,0","15.865,0","15.818,5","","0,41%"
"26/03/2024","15.785,0","15.800,0","15.810,0","15.780,0","","-0,06%"
"25/03/2024","15.795,0","15.785,0","15.808,5","15.775,0","","0,13%"
"22/03/2024","15.775,0","15.730,0","15.790,0","15.722,5","","0,77%"
"21/03/2024","15.655,0","15.665,0","15.680,0","15.647,0","","-0,35%"
"20/03/2024","15.710,0","15.722,5","15.742,5","15.708,5","","0,00%"
"19/03/2024","15.710,0","15.720,0","15.735,0","15.697,5","","0,16%"
"18/03/2024","15.685,0","15.625,0","15.698,0","15.622,5","","0,61%"
"15/03/2024","15.590,0","15.630,0","15.641,5","15.594,5","","0,10%"
"14/03/2024","15.575,0","15.580,0","15.589,5","15.569,5","","0,03%"
"13/03/2024","15.570,0","15.570,0","15.595,0","15.557,5","","0,06%"
"12/03/2024","15.561,0","15.526,5","15.563,0","15.470,9","","0,23%"
"11/03/2024","15.525,0","15.541,3","15.590,0","15.438,5","","-0,38%"
"08/03/2024","15.585,0","15.625,0","15.640,0","15.573,0","","-0,42%"
"07/03/2024","15.650,0","15.667,5","15.685,0","15.635,0","","-0,29%"
"06/03/2024","15.695,0","15.760,0","15.760,0","15.690,0","","-0,44%"
"05/03/2024","15.765,0","15.752,5","15.777,5","15.735,0","","0,19%"
"04/03/2024","15.735,0","15.705,0","15.740,0","15.704,5","","0,25%"
"01/03/2024","15.695,0","15.722,5","15.722,5","15.680,0","","-0,10%"
"29/02/2024","15.710,0","15.705,0","15.735,5","15.690,0","","0,19%"
"28/02/2024","15.680,0","15.645,0","15.692,0","15.645,0","","0,29%"
"27/02/2024","15.635,0","15.650,0","15.662,5","15.640,0","","0,06%"
"26/02/2024","15.625,0","15.622,5","15.642,5","15.619,0","","0,22%"
"23/02/2024","15.590,0","15.602,5","15.607,5","15.572,5","","0,03%"
"22/02/2024","15.585,0","15.640,0","15.659,5","15.589,5","","-0,29%"
"21/02/2024","15.630,0","15.670,0","15.685,0","15.635,0","","-0,16%"
"20/02/2024","15.655,0","15.640,0","15.669,0","15.637,5","","0,19%"
"19/02/2024","15.625,0","15.640,0","15.642,5","15.616,0","","0,06%"
"16/02/2024","15.615,0","15.655,0","15.677,5","15.620,0","","0,00%"
"15/02/2024","15.615,0","15.582,5","15.640,0","15.547,5","","-0,11%"
"14/02/2024","15.632,0","15.677,0","15.726,7","15.560,6","","0,27%"
"13/02/2024","15.590,0","15.590,0","15.614,0","15.565,0","","0,00%"
"12/02/2024","15.590,0","15.640,0","15.640,0","15.594,5","","-0,14%"
