38 Provinsi,
,[Metode Baru] Indeks Pembangunan Manusia (IPM) menurut Provinsi
,2020
ACEH,71.99
SUMATERA UTARA,71.77
SUMATERA BARAT,72.38
RIAU,72.71
JAMBI,71.29
SUMATERA SELATAN,70.01
BENGKULU,71.4
LAMPUNG,69.69
KEP. BANGKA BELITUNG,71.47
KEP. RIAU,75.59
DKI JAKARTA,80.77
JAWA BARAT,72.09
JAWA TENGAH,71.87
DI YOGYAKARTA,79.97
JAWA TIMUR,71.71
BANTEN,72.45
BALI,75.5
NUSA TENGGARA BARAT,68.25
NUSA TENGGARA TIMUR,65.19
KALIMANTAN BARAT,67.66
KALIMANTAN TENGAH,71.05
KALIMANTAN SELATAN,70.91
KALIMANTAN TIMUR,76.24
KALIMANTAN UTARA,70.63
SULAWESI UTARA,72.93
SULAWESI TENGAH,69.55
SULAWESI SELATAN,71.93
SULAWESI TENGGARA,71.45
GORONTALO,68.68
SULAWESI BARAT,66.11
MALUKU,69.49
MALUKU UTARA,68.49
PAPUA BARAT,65.09
PAPUA BARAT DAYA,-
PAPUA,60.44
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,71.94
