Provinsi,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Aceh,4494.4,2.36 (*),1.89,78,100.2
Sumatera Utara,12982.2,1.1,5.46,178,99.8
Sumatera Barat,4846.9,1.34,2.04,115,98.4
Riau,5538.4,3.58,2.33,64,106.3
Jambi,3092.3,2.56,1.3,62,104.6
Sumatera Selatan,7450.4,1.85,3.14,81,103.7
Bengkulu,1715.5,1.67,0.72,86,104.6
Lampung,7608.4,1.24,3.2,220,106.1
Kepulauan Bangka Belitung,1223.3,3.14,0.51,74,108
Kepulauan Riau,1679.2,4.95,0.71,205,105.5
DKI Jakarta,9607.8,1.41,4.04,14469,102.8
Jawa Barat,43053.7,1.9,18.12,1217,103.6
Jawa Tengah,32382.7,0.37,13.63,987,98.8
DI Yogyakarta,3457.5,1.04,1.45,1104,97.7
Jawa Timur,37476.8,0.76,15.77,784,97.5
Banten,10632.2,2.78,4.47,1100,104.7
Bali,3890.8,2.15,1.64,673,101.7
Nusa Tenggara Barat,4500.2,1.17,1.89,242,94.3
Nusa Tenggara Timur,4683.8,2.07,1.97,96,98.7
Kalimantan Barat,4396,0.91,1.85,30,104.6
Kalimantan Tengah,2212.1,1.79,0.93,14,109
Kalimantan Selatan,3626.6,1.99,1.53,94,102.6
Kalimantan Timur,3553.1,3.81,1.5,17,111.3
Kalimantan Utara,–,–,–,–,–
Sulawesi Utara,2270.6,1.28,0.96,163,104.4
Sulawesi Tengah,2635,1.95,1.11,43,105.2
Sulawesi Selatan,8034.8,1.17,3.38,172,95.5
Sulawesi Tenggara,2232.6,2.08,0.94,59,101
Gorontalo,1040.2,2.26,0.44,92,100.7
Sulawesi Barat,1158.7,2.68,0.49,69,100.8
Maluku,1533.5,2.8,0.65,33,102.3
Maluku Utara,1038.1,2.47,0.44,32,104.9
Papua Barat,760.4,3.71,0.32,7,112.4
Papua,2833.4,5.39,1.19,9,113.4
Indonesia,237641.3,1.49,100,124,101.4
,,,,,
Catatan,,,,,
<sup>1</sup>Hasil Sensus Penduduk (SP) 2010 (Mei)/ <i>The result of the 2010 Population Census (May)</i><sup>2</sup>Hasil Sensus Penduduk (SP) 2000 (Juni)/ <i>The result of the 2000 Population Census (June)</i><i>,,,,,
"</i><sup>3</sup>Luas Provinsi Berdasarkan Peraturan Menteri Dalam Negeri Nomor 72 Tahun 2019 tanggal 25 Oktober 2019/ <i>Area Province Based on Minister of Home Affairs Regulation Number 72/2019, October 25, 2019</i><sup>x</sup>Rata-rata Laju Pertumbuhan Penduduk per tahun 2000–2010 untuk Aceh dihitung dengan menggunakan data Sensus Penduduk AcehNias (SPAN) 2005 dan SP2010/<i>Annual growth rate of population 2000–2010 to Aceh was calculated using data Aceh Nias Population Census</i><i>(SPAN) 2005 and 2010 Population Census</i>",,,,,
