Tahun,Provinsi,Total_Pengeluaran,Pengeluaran_Makanan,Pengeluaran_Bukan_Makanan,UMP,TPT,TPAK,PDRB_HargaBerlaku,PDRB_HargaKonstan,Inflasi_Rata_Tahunan,Pct_Unemployment_WB,Poverty_Headcount_Pct,Inflasi_WB_Annual,GDP_PerCapita_PPP,Pct_Populasi
2017,Aceh,902994.59,529161.55,373833.04,3165031.0,6.98,64.665,28096.71,23362.9,3.549397590361446,3.783,10.6,3.80879857691949,11772.5743296107,5189.5
2018,Aceh,973817.35,547668.08,426149.27,3165031.0,6.44,64.39500000000001,29521.25,24013.79,3.085180722891566,4.387,9.8,3.19834755924996,12262.2310300771,5281.3
2019,Aceh,993433.0,559300.0,434134.0,3165031.0,5.825,64.69500000000001,30879.06,24842.3,2.3003614457831327,3.59,9.4,3.03058460941661,12757.7850854842,5371.5
2020,Aceh,1080171.23,595634.83,484536.41,3165031.0,5.995,65.71,31633.38,25018.28,1.8470329670329668,4.255,9.8,1.91983527270793,12388.5449268131,5274.9
2021,Aceh,1137819.32,643591.4,494227.92,3165031.0,6.3,64.46000000000001,34673.56,25356.45,2.155824175824176,3.827,10.1,1.56007882983334,12757.0746440204,5333.7
2022,Aceh,1180132.93,668480.98,511651.95,3166460.0,6.07,63.825,38767.08,26061.53,5.914725274725275,3.462,9.5,4.20946463714784,13334.2653947637,5407.9
2023,Aceh,1225976.0,702547.0,523429.0,3413666.0,5.890000000000001,64.945,41407.6,26800.14,2.7642857142857142,3.308,9.4,3.66938654859761,13889.9749067297,5407.9
2024,Aceh,1264733.0,722434.0,542299.0,3460672.0,5.890000000000001,64.945,43782.22,27684.18,2.7642857142857142,3.301,9.0,2.18151273615189,14470.4372020578,5554.8
2025,Aceh,1299756.0,741980.0,557776.0,3685616.0,5.57,65.475,45770.4,28144.6,2.7642857142857142,3.301,9.0,2.18151273615189,14470.4372020578,5626.0
2017,Bali,1332084.88,569168.04,762916.85,2494000.0,1.38,76.055,50167.07,34129.84,3.549397590361446,3.783,10.6,3.80879857691949,11772.5743296107,4246.5
2018,Bali,1367032.49,599976.09,767056.4,2494000.0,1.14,78.12,54433.46,35896.35,3.085180722891566,4.387,9.8,3.19834755924996,12262.2310300771,4292.2
2019,Bali,1387154.0,609181.0,777972.0,2494000.0,1.395,75.12,57755.96,37297.5,2.3003614457831327,3.59,9.4,3.03058460941661,12757.7850854842,4336.9
2020,Bali,1509665.64,675145.59,834520.05,2494000.0,3.44,75.675,52015.45,34216.52,1.8470329670329668,4.255,9.8,1.91983527270793,12388.5449268131,4317.4
