Tanggal,Inflasi_MoM,IHK,BI_Rate,USD_IDR,Bulan,Tahun
2005-01-01,1.43,118.53,7.32,9171.8125,1,2005
2005-02-01,-0.17,118.33,7.15,9249.5,2,2005
2005-03-01,1.91,120.59,8.81,9382.826086956522,3,2005
2005-04-01,0.34,121.0,8.12,9556.190476190477,4,2005
2005-05-01,0.21,121.25,7.4,9480.0,5,2005
2005-06-01,0.5,121.86,7.42,9630.545454545454,6,2005
2005-07-01,0.78,122.81,7.84,9806.42857142857,7,2005
2005-08-01,0.55,123.48,8.33,9996.891304347826,8,2005
2005-09-01,0.69,124.33,9.06,10242.15909090909,9,2005
2005-10-01,8.7,135.15,17.89,10084.095238095239,10,2005
2005-11-01,1.31,136.92,18.38,10033.886363636364,11,2005
2005-12-01,-0.04,136.86,17.11,9846.386363636364,12,2005
2006-01-01,1.36,138.72,17.03,9475.454545454546,1,2006
2006-02-01,0.58,139.53,17.92,9254.25,2,2006
2006-03-01,0.03,139.57,15.74,9157.717391304348,3,2006
2006-04-01,0.05,139.64,15.4,8928.7,4,2006
2006-05-01,0.37,140.16,15.6,9019.45652173913,5,2006
2006-06-01,0.45,140.79,15.53,9365.477272727272,6,2006
2006-07-01,0.45,141.42,15.15,9132.92857142857,7,2006
2006-08-01,0.33,141.88,14.9,9095.347826086956,8,2006
2006-09-01,0.38,142.42,14.55,9157.666666666666,9,2006
2006-10-01,0.86,143.65,6.29,9172.068181818182,10,2006
2006-11-01,0.34,144.14,5.27,9140.113636363636,11,2006
2006-12-01,1.21,145.89,6.6,9090.92857142857,12,2006
2007-01-01,1.04,147.41,6.26,9068.04347826087,1,2007
2007-02-01,0.62,148.32,6.3,9068.075,2,2007
2007-03-01,0.24,148.67,6.52,9171.636363636364,3,2007
2007-04-01,-0.16,148.43,6.29,9096.309523809523,4,2007
2007-05-01,0.1,148.58,6.01,8835.08695652174,5,2007
2007-06-01,0.23,148.92,5.77,8985.095238095239,6,2007
2007-07-01,0.72,149.99,6.06,9070.65909090909,7,2007
2007-08-01,0.75,151.11,6.51,9369.41304347826,8,2007
2007-09-01,0.8,152.32,6.95,9304.225,9,2007
2007-10-01,0.79,153.53,6.88,9100.195652173914,10,2007
2007-11-01,0.18,153.81,6.71,9266.113636363636,11,2007
2007-12-01,1.1,155.5,6.59,9353.57142857143,12,2007
2008-01-01,1.77,158.26,7.36,9398.847826086956,1,2008
2008-02-01,0.65,159.29,7.4,9181.42857142857,2,2008
2008-03-01,0.95,160.81,8.17,9173.714285714286,3,2008
2008-04-01,0.57,161.73,8.96,9204.227272727272,4,2008
2008-05-01,1.41,164.01,10.38,9273.59090909091,5,2008
2008-06-01,2.46,110.08,11.03,9285.238095238095,6,2008
2008-07-01,1.37,111.59,11.9,9158.41304347826,7,2008
2008-08-01,0.51,112.16,11.85,9147.285714285714,8,2008
2008-09-01,0.97,113.25,12.14,9345.65909090909,9,2008
2008-10-01,0.45,113.76,11.77,9954.434782608696,10,2008
2008-11-01,0.12,113.9,11.68,11566.75,11,2008
2008-12-01,-0.04,113.86,11.06,11229.782608695652,12,2008
2009-01-01,-0.07,113.78,9.17,11098.40909090909,1,2009
2009-02-01,0.21,114.02,8.6,11828.0,2,2009
2009-03-01,0.22,114.27,7.92,11827.045454545454,3,2009
2009-04-01,-0.31,113.92,7.31,11026.136363636364,4,2009
2009-05-01,0.04,113.97,6.04,10367.380952380952,5,2009
2009-06-01,0.11,114.1,3.65,10181.363636363636,6,2009
2009-07-01,0.45,114.61,2.71,10099.021739130434,7,2009
2009-08-01,0.56,115.25,2.75,9966.785714285714,8,2009
2009-09-01,1.05,116.46,2.83,9849.09090909091,9,2009
2009-10-01,0.19,116.68,2.57,9477.772727272728,10,2009
2009-11-01,-0.03,116.65,2.41,9447.619047619048,11,2009
2009-12-01,0.33,117.03,2.78,9451.5,12,2009
2010-01-01,0.84,118.01,3.72,9275.357142857143,1,2010
2010-02-01,-0.08,118.36,3.81,9336.725,2,2010
2010-03-01,-0.14,118.19,3.43,9166.804347826086,3,2010
2010-04-01,0.15,118.37,3.91,9027.818181818182,4,2010
2010-05-01,0.29,118.71,4.16,9167.333333333334,5,2010
2010-06-01,0.97,119.86,5.05,9137.431818181818,6,2010
2010-07-01,1.57,121.74,6.22,9040.818181818182,7,2010
2010-08-01,0.76,122.67,6.44,8971.977272727272,8,2010
2010-09-01,0.44,123.21,5.8,8979.704545454546,9,2010
2010-10-01,0.06,123.29,5.67,8927.857142857143,10,2010
2010-11-01,0.6,124.03,6.33,8941.90909090909,11,2010
2010-12-01,0.92,125.17,6.96,9022.58695652174,12,2010
2011-01-01,0.89,126.29,7.02,9034.92857142857,1,2011
2011-02-01,0.13,126.46,6.84,8916.7,2,2011
2011-03-01,-0.32,126.05,6.65,8759.347826086956,3,2011
2011-04-01,-0.31,125.66,6.16,8648.02380952381,4,2011
2011-05-01,0.12,125.81,5.98,8558.045454545454,5,2011
2011-06-01,0.55,126.5,5.54,8563.727272727272,6,2011
2011-07-01,0.67,127.35,4.61,8529.238095238095,7,2011
2011-08-01,0.93,128.54,4.79,8525.847826086956,8,2011
2011-09-01,0.27,128.89,4.61,8724.75,9,2011
2011-10-01,-0.12,128.74,4.42,8864.47619047619,10,2011
2011-11-01,0.34,129.18,4.15,8998.181818181818,11,2011
2011-12-01,0.57,129.91,3.79,9053.068181818182,12,2011
2012-01-01,0.76,,3.65,9054.545454545454,1,2012
2012-02-01,0.05,,3.56,8997.619047619048,2,2012
2012-03-01,0.07,,3.97,9141.65909090909,3,2012
2012-04-01,0.21,,4.5,9162.904761904761,4,2012
2012-05-01,0.07,,4.45,9252.673913043478,5,2012
2012-06-01,0.62,,4.53,9405.833333333334,6,2012
2012-07-01,0.7,,4.56,9432.272727272728,7,2012
2012-08-01,0.95,,4.58,9492.217391304348,8,2012
2012-09-01,0.01,,4.31,9553.55,9,2012
2012-10-01,0.16,,4.61,9593.304347826086,10,2012
2012-11-01,0.07,,4.32,9617.363636363636,11,2012
2012-12-01,0.54,,4.3,9635.52380952381,12,2012
2013-01-01,1.03,136.88,4.57,9651.934782608696,1,2013
2013-02-01,0.75,137.91,5.31,9680.375,2,2013
2013-03-01,0.63,138.78,5.9,9708.547619047618,3,2013
2013-04-01,-0.1,138.64,5.57,9722.613636363636,4,2013
2013-05-01,-0.03,138.6,5.47,9756.5,5,2013
2013-06-01,1.03,140.03,5.9,9871.125,6,2013
2013-07-01,3.29,144.63,8.61,10071.217391304348,7,2013
2013-08-01,1.12,146.25,8.79,10532.5,8,2013
2013-09-01,-0.35,145.74,8.4,11327.261904761905,9,2013
2013-10-01,0.09,145.87,8.32,11344.760869565218,10,2013
2013-11-01,0.12,146.04,8.37,11610.833333333334,11,2013
2013-12-01,0.55,146.84,8.38,12086.25,12,2013
2014-01-01,1.07,110.99,8.22,12157.782608695652,1,2014
2014-02-01,0.26,111.28,7.75,11917.7,2,2014
2014-03-01,0.08,111.37,7.32,11416.404761904761,3,2014
2014-04-01,-0.02,111.35,7.25,11431.09090909091,4,2014
2014-05-01,0.16,111.53,7.32,11535.795454545454,5,2014
2014-06-01,0.43,112.01,6.7,11892.166666666666,6,2014
2014-07-01,0.93,113.05,4.53,11660.282608695652,7,2014
2014-08-01,0.47,113.58,3.99,11709.92857142857,8,2014
2014-09-01,0.27,113.89,4.53,11897.727272727272,9,2014
2014-10-01,0.47,114.42,4.83,12141.630434782608,10,2014
2014-11-01,1.5,116.14,6.23,12166.825,11,2014
2014-12-01,2.46,119.0,8.36,12431.217391304348,12,2014
2015-01-01,-0.24,118.71,6.96,12572.181818181818,1,2015
2015-02-01,-0.36,118.28,6.29,12760.675,2,2015
2015-03-01,0.17,118.48,6.38,13066.90909090909,3,2015
2015-04-01,0.36,118.91,6.79,12946.15909090909,4,2015
2015-05-01,0.5,119.5,7.15,13132.02380952381,5,2015
2015-06-01,0.54,120.14,7.26,13306.65909090909,6,2015
2015-07-01,0.93,121.26,7.26,13375.217391304348,7,2015
2015-08-01,0.39,121.73,7.18,13788.904761904761,8,2015
2015-09-01,-0.05,121.67,6.83,14409.90909090909,9,2015
2015-10-01,-0.08,121.57,6.25,13774.90909090909,10,2015
2015-11-01,0.21,121.82,4.89,13676.095238095239,11,2015
2015-12-01,0.96,122.99,3.35,13834.478260869566,12,2015
2016-01-01,0.51,123.62,4.14,13886.309523809523,1,2016
2016-02-01,-0.09,123.51,4.42,13509.52380952381,2,2016
2016-03-01,0.19,123.75,4.45,13197.217391304348,3,2016
2016-04-01,-0.45,123.19,3.6,13171.714285714286,4,2016
2016-05-01,0.24,123.48,3.33,13416.727272727272,5,2016
2016-06-01,0.66,124.29,3.45,13337.977272727272,6,2016
2016-07-01,0.69,125.15,3.21,13114.333333333334,7,2016
2016-08-01,-0.02,125.13,2.79,13160.326086956522,8,2016
2016-09-01,0.22,125.41,3.07,13109.84090909091,9,2016
2016-10-01,0.14,125.59,3.31,13018.214285714286,10,2016
2016-11-01,0.47,126.18,3.58,13314.363636363636,11,2016
2016-12-01,0.42,126.71,3.02,13409.113636363636,12,2016
2017-01-01,0.97,127.94,3.49,13365.863636363636,1,2017
2017-02-01,0.23,128.24,3.83,13337.875,2,2017
2017-03-01,-0.02,128.22,3.61,13343.04347826087,3,2017
2017-04-01,0.09,128.33,4.17,13301.4,4,2017
2017-05-01,0.39,128.83,4.33,13322.173913043478,5,2017
2017-06-01,0.69,129.72,4.37,13306.727272727272,6,2017
2017-07-01,0.22,130.0,3.88,13346.404761904761,7,2017
2017-08-01,-0.07,129.91,3.82,13343.021739130434,8,2017
2017-09-01,0.13,130.08,3.72,13307.547619047618,9,2017
2017-10-01,0.01,130.09,3.58,13527.795454545454,10,2017
2017-11-01,0.2,130.35,3.3,13527.545454545454,11,2017
2017-12-01,0.71,131.28,3.61,13559.0,12,2017
2018-01-01,0.62,132.1,3.25,13387.41304347826,1,2018
2018-02-01,0.17,132.32,3.18,13601.175,2,2018
2018-03-01,0.2,132.58,3.4,13759.772727272728,3,2018
2018-04-01,0.1,132.71,3.41,13808.809523809523,4,2018
2018-05-01,0.21,132.99,3.23,14036.934782608696,5,2018
2018-06-01,0.59,133.77,3.12,14007.261904761905,6,2018
2018-07-01,0.28,134.14,3.18,14408.613636363636,7,2018
2018-08-01,-0.05,134.07,3.2,14563.978260869566,8,2018
2018-09-01,-0.18,133.83,2.88,14868.075,9,2018
2018-10-01,0.28,134.2,3.16,15175.565217391304,10,2018
2018-11-01,0.27,134.56,3.23,14657.636363636364,11,2018
2018-12-01,0.62,135.39,3.13,14498.92857142857,12,2018
2019-01-01,0.32,135.83,2.82,14165.173913043478,1,2019
2019-02-01,-0.08,135.72,2.57,14029.025,2,2019
2019-03-01,0.11,135.87,2.48,14204.07142857143,3,2019
2019-04-01,0.44,136.47,2.83,14137.545454545454,4,2019
2019-05-01,0.68,137.4,3.32,14375.869565217392,5,2019
2019-06-01,0.55,138.16,3.28,14233.725,6,2019
2019-07-01,0.31,138.59,3.32,14031.391304347826,7,2019
2019-08-01,0.12,138.75,3.49,14232.0,8,2019
2019-09-01,-0.27,138.37,3.39,14100.357142857143,9,2019
2019-10-01,0.02,138.4,3.13,14113.152173913044,10,2019
2019-11-01,0.14,138.6,3.0,14061.02380952381,11,2019
2019-12-01,0.34,139.07,2.72,14002.477272727272,12,2019
2020-01-01,0.39,,2.68,13721.478260869566,1,2020
2020-02-01,0.28,,2.98,13767.125,2,2020
2020-03-01,0.1,,2.96,15179.119047619048,3,2020
2020-04-01,0.08,,2.67,15710.595238095239,4,2020
2020-05-01,0.07,,2.19,14854.6875,5,2020
2020-06-01,0.18,,1.96,14105.357142857143,6,2020
2020-07-01,-0.1,,1.54,14529.977272727272,7,2020
2020-08-01,-0.05,,1.32,14649.166666666666,8,2020
2020-09-01,-0.05,,1.42,14785.0,9,2020
2020-10-01,0.07,,1.44,14686.315789473685,10,2020
2020-11-01,0.28,,1.59,14184.047619047618,11,2020
2020-12-01,0.45,,1.68,14094.473684210527,12,2020
2021-01-01,0.26,,1.55,14016.604761904762,1,2021
2021-02-01,0.1,,1.38,14026.578947368422,2,2021
2021-03-01,0.08,,1.37,14378.863636363636,3,2021
2021-04-01,0.13,,1.42,14523.809523809523,4,2021
2021-05-01,0.32,,1.68,14314.411764705883,5,2021
2021-06-01,-0.16,,1.33,14330.380952380952,6,2021
2021-07-01,0.08,,1.52,14491.333333333334,7,2021
2021-08-01,0.03,,1.59,14375.65,8,2021
2021-09-01,-0.04,,1.6,14249.09090909091,9,2021
2021-10-01,0.12,,1.66,14177.55,10,2021
2021-11-01,0.37,,1.75,14262.636363636364,11,2021
2021-12-01,0.57,,1.87,14319.782608695652,12,2021
2022-01-01,0.56,,2.18,14335.190476190477,1,2022
2022-02-01,-0.02,,2.06,14345.777777777777,2,2022
2022-03-01,0.66,,2.64,14344.818181818182,3,2022
2022-04-01,0.95,,3.47,14373.052631578947,4,2022
2022-05-01,0.4,,3.55,14616.466666666667,5,2022
2022-06-01,0.61,,4.35,14699.142857142857,6,2022
2022-07-01,0.64,,4.94,14977.0,7,2022
2022-08-01,-0.21,,4.69,14839.09090909091,8,2022
2022-09-01,1.17,,5.95,14983.09090909091,9,2022
2022-10-01,-0.11,,5.71,15433.42857142857,10,2022
2022-11-01,0.09,,5.42,15661.181818181818,11,2022
2022-12-01,0.66,,5.51,15597.363636363636,12,2022
2023-01-01,0.34,,5.28,15250.047619047618,1,2023
2023-02-01,0.16,,5.47,15129.65,2,2023
2023-03-01,0.18,,4.97,15272.619047619048,3,2023
2023-04-01,0.33,,4.33,14829.285714285714,4,2023
2023-05-01,0.09,,4.0,14823.772727272728,5,2023
2023-06-01,0.14,,3.52,14935.695454545454,6,2023
2023-07-01,0.21,,3.08,15032.809523809523,7,2023
2023-08-01,-0.02,,3.27,15244.208695652173,8,2023
2023-09-01,0.19,,2.28,15360.047619047618,9,2023
2023-10-01,0.17,,2.56,15749.772727272728,10,2023
2023-11-01,0.38,,2.86,15589.318181818182,11,2023
2023-12-01,0.41,,2.61,15496.142857142857,12,2023
2024-01-01,0.04,,2.57,15607.04347826087,1,2024
2024-02-01,0.37,,2.75,15643.97619047619,2,2024
2024-03-01,0.52,,3.05,15697.190476190477,3,2024
2024-04-01,0.25,,3.0,16082.122727272728,4,2024
2024-05-01,-0.03,,2.84,16044.21111111111,5,2024
2024-06-01,-0.08,,2.51,,6,2024
2024-07-01,-0.18,,2.13,,7,2024
2024-08-01,-0.03,,2.12,,8,2024
2024-09-01,-0.12,,1.84,,9,2024
2024-10-01,0.08,,1.71,,10,2024
2024-11-01,0.3,,1.55,,11,2024
2024-12-01,0.44,,1.57,,12,2024
2025-01-01,-0.76,,0.76,,1,2025
2025-02-01,-0.48,,-0.09,,2,2025
2025-03-01,1.65,,1.03,,3,2025
2025-04-01,1.17,,1.95,,4,2025
2025-05-01,-0.37,,1.6,,5,2025
2025-06-01,0.19,,1.87,,6,2025
2025-07-01,0.3,,2.37,,7,2025
2025-08-01,-0.08,,2.31,,8,2025
2025-09-01,0.21,,2.65,,9,2025
2025-10-01,0.28,,2.86,,10,2025
2025-11-01,0.17,,2.72,,11,2025
2025-12-01,0.64,,2.92,,12,2025
2026-01-01,-0.15,,3.55,,1,2026
2026-02-01,0.68,,4.76,,2,2026
