Provinsi,Tahun,Total_Pengeluaran,log_Total_Pengeluaran,UMP,log_UMP,TPT,Inflasi_Rata_Tahunan
Aceh,2021,1137819.32,13.944624990165405,3165031.0,14.967673724093821,6.3,0.155
Bali,2021,1468624.11,14.199837221769862,2494000.0,14.729398806184347,5.395,0.155
Banten,2021,1511256.67,14.228452756167078,2460997.0,14.716077516695089,8.995000000000001,0.155
Bengkulu,2021,1138572.4,13.945286633202684,2215000.0,14.61076341292854,3.685,0.155
Di Yogyakarta,2021,1417870.35,14.164667255583147,1765000.0,14.383661814921611,4.42,0.155
Dki Jakarta,2021,2336429.43,14.66413486537438,4416187.0,15.300787438496656,8.504999999999999,0.155
Gorontalo,2021,1145790.12,13.951605890882945,2788826.0,14.841131635284505,3.21,0.155
Jambi,2021,1180259.76,13.981245955079537,2630162.0,14.782556379419752,4.925,0.155
Jawa Barat,2021,1372659.1,14.132261094014652,1810351.0,14.409031859472291,9.370000000000001,0.155
Jawa Tengah,2021,1048609.0,13.862976035599987,1798979.0,14.402730395583491,5.955,0.155
Jawa Timur,2021,1113001.95,13.92257228074833,1868777.0,14.440795299286478,5.455,0.155
Kalimantan Barat,2021,1163058.26,13.966564384630871,2399699.0,14.690854287505022,5.775,0.155
Kalimantan Selatan,2021,1383800.41,14.1403449149797,2877449.0,14.872415043232593,4.640000000000001,0.155
Kalimantan Tengah,2021,1395825.82,14.148997500167805,2903145.0,14.881305534542678,4.390000000000001,0.155
Kalimantan Timur,2021,1718610.81,14.357027435710103,2981379.0,14.9078968385381,6.82,0.155
Kalimantan Utara,2021,1554709.86,14.256800144183906,3000804.0,14.914391143970768,4.625,0.155
Kepulauan Bangka Belitung,2021,1532174.12,14.242198930843996,3230024.0,14.988000435106967,,0.155
Kepulauan Riau,2021,1855295.6,14.433555133425568,3005460.0,14.91594152516688,,0.155
Lampung,2021,1030578.58,13.84563190097921,2432002.0,14.704225755620065,4.615,0.155
Maluku,2021,1112745.83,13.92234213807602,2604961.0,14.772928645731154,6.83,0.155
Maluku Utara,2021,1129341.37,13.937146047824914,2721530.0,14.816705147568662,4.885,0.155
Nusa Tenggara Barat,2021,1197547.9,13.995787442506547,2183883.0,14.596615500883244,3.49,0.155
Nusa Tenggara Timur,2021,840358.61,13.641585186350635,1950000.0,14.48334044336031,3.575,0.155
Papua,2021,1368379.11,14.12913819675633,3516700.0,15.073033892203757,3.55,0.155
