Tanggal,Inflasi_MoM,IHK,USD_IDR,Inflasi_MoM_lag1,Inflasi_MoM_lag2,Inflasi_MoM_lag3,Inflasi_MoM_lag4,Inflasi_MoM_lag5,Inflasi_MoM_lag6,Inflasi_MoM_lag7,Inflasi_MoM_lag8,Inflasi_MoM_lag9,Inflasi_MoM_lag10,Inflasi_MoM_lag11,Inflasi_MoM_lag12,Bulan,Tahun
2006-01-01,1.36,138.72,9475.454545454546,-0.04,1.31,8.7,0.69,0.55,0.78,0.5,0.21,0.34,1.91,-0.17,1.43,1,2006
2006-02-01,0.58,139.53,9254.25,1.36,-0.04,1.31,8.7,0.69,0.55,0.78,0.5,0.21,0.34,1.91,-0.17,2,2006
2006-03-01,0.03,139.57,9157.717391304348,0.58,1.36,-0.04,1.31,8.7,0.69,0.55,0.78,0.5,0.21,0.34,1.91,3,2006
2006-04-01,0.05,139.64,8928.7,0.03,0.58,1.36,-0.04,1.31,8.7,0.69,0.55,0.78,0.5,0.21,0.34,4,2006
2006-05-01,0.37,140.16,9019.45652173913,0.05,0.03,0.58,1.36,-0.04,1.31,8.7,0.69,0.55,0.78,0.5,0.21,5,2006
2006-06-01,0.45,140.79,9365.477272727272,0.37,0.05,0.03,0.58,1.36,-0.04,1.31,8.7,0.69,0.55,0.78,0.5,6,2006
2006-07-01,0.45,141.42,9132.92857142857,0.45,0.37,0.05,0.03,0.58,1.36,-0.04,1.31,8.7,0.69,0.55,0.78,7,2006
2006-08-01,0.33,141.88,9095.347826086956,0.45,0.45,0.37,0.05,0.03,0.58,1.36,-0.04,1.31,8.7,0.69,0.55,8,2006
2006-09-01,0.38,142.42,9157.666666666666,0.33,0.45,0.45,0.37,0.05,0.03,0.58,1.36,-0.04,1.31,8.7,0.69,9,2006
2006-10-01,0.86,143.65,9172.068181818182,0.38,0.33,0.45,0.45,0.37,0.05,0.03,0.58,1.36,-0.04,1.31,8.7,10,2006
2006-11-01,0.34,144.14,9140.113636363636,0.86,0.38,0.33,0.45,0.45,0.37,0.05,0.03,0.58,1.36,-0.04,1.31,11,2006
2006-12-01,1.21,145.89,9090.92857142857,0.34,0.86,0.38,0.33,0.45,0.45,0.37,0.05,0.03,0.58,1.36,-0.04,12,2006
2007-01-01,1.04,147.41,9068.04347826087,1.21,0.34,0.86,0.38,0.33,0.45,0.45,0.37,0.05,0.03,0.58,1.36,1,2007
2007-02-01,0.62,148.32,9068.075,1.04,1.21,0.34,0.86,0.38,0.33,0.45,0.45,0.37,0.05,0.03,0.58,2,2007
2007-03-01,0.24,148.67,9171.636363636364,0.62,1.04,1.21,0.34,0.86,0.38,0.33,0.45,0.45,0.37,0.05,0.03,3,2007
2007-04-01,-0.16,148.43,9096.309523809523,0.24,0.62,1.04,1.21,0.34,0.86,0.38,0.33,0.45,0.45,0.37,0.05,4,2007
2007-05-01,0.1,148.58,8835.08695652174,-0.16,0.24,0.62,1.04,1.21,0.34,0.86,0.38,0.33,0.45,0.45,0.37,5,2007
