iter	RMSE
0	0.4954979197
1	0.4913081854
2	0.4864048006
3	0.482442152
4	0.4789224946
5	0.4747588263
6	0.470294339
7	0.4682488855
8	0.4640646033
9	0.4622006297
10	0.4613046715
11	0.4575610275
12	0.4540824798
13	0.4511102444
14	0.4484632714
15	0.4437754301
16	0.4396762018
17	0.4358652067
18	0.4325749971
19	0.4291283957
20	0.4255487786
21	0.4224611569
22	0.4196662588
23	0.4164927522
24	0.4139873969
25	0.4113173705
26	0.4107051945
27	0.4082029605
28	0.4048957531
29	0.4015476298
30	0.3983869264
31	0.3958727292
32	0.3929955637
33	0.3904156357
34	0.3879280395
35	0.3869324746
36	0.3858363987
37	0.3834625764
38	0.3822871648
39	0.3816071435
40	0.3786055072
41	0.3774835256
42	0.3742236637
43	0.373365528
44	0.3706074966
45	0.3691755831
46	0.367034651
47	0.3652927198
48	0.3639731506
49	0.361111435
50	0.3585896886
51	0.3578717129
52	0.3566844176
53	0.3544856743
54	0.3532933471
55	0.3509808066
56	0.3492231905
57	0.3478313712
58	0.3453334193
59	0.344069252
60	0.3430353655
61	0.3426759514
62	0.3408181397
63	0.3380535962
64	0.335716553
65	0.3334361261
66	0.3312581888
67	0.3297687606
68	0.3277909753
69	0.3265423568
70	0.3247745379
71	0.3232242939
72	0.3215905615
73	0.3208936935
74	0.3192501191
75	0.3172719027
76	0.3155693254
77	0.3134567015
78	0.3128974736
79	0.3113324896
80	0.3095868863
81	0.3083836671
82	0.3063484469
83	0.3052178726
84	0.3034015981
85	0.3022497136
86	0.3007443061
87	0.2989313486
88	0.297263896
89	0.2961738945
90	0.2958509207
91	0.2951037452
92	0.2934369233
93	0.2926325603
94	0.2912406117
95	0.290149076
96	0.2884691372
97	0.2876219697
98	0.2867605123
99	0.2859604845
100	0.2836094515
101	0.2823412154
102	0.2805822408
103	0.2792365837
104	0.2783990345
105	0.2776538264
106	0.2765545072
107	0.2757284553
108	0.2746462266
109	0.2731407937
110	0.2719599812
111	0.2703301618
112	0.2690942631
113	0.2685064919
114	0.2677697075
115	0.266229672
116	0.2647088652
117	0.263638381
118	0.2624315039
119	0.2617271607
120	0.2603598958
121	0.2597062813
122	0.2588077096
123	0.2580227513
124	0.2567735791
125	0.2561362286
126	0.2556676051
127	0.2543316247
128	0.2535512563
129	0.2522950269
130	0.25175441
131	0.251233022
132	0.2503716606
133	0.2491317731
134	0.2472983447
135	0.246383149
136	0.2459999123
137	0.2447807086
138	0.2438561715
139	0.2425706497
140	0.2411412911
141	0.2406058341
142	0.2399123229
143	0.2390318741
144	0.2382271084
145	0.2375545668
146	0.2372034476
147	0.2361392327
148	0.2354386315
149	0.2345324233
150	0.2333111637
151	0.2323360901
152	0.2315420252
153	0.2312033256
154	0.2304981804
155	0.2299577431
156	0.2287662617
157	0.2283605745
158	0.2280087121
159	0.2273551755
160	0.2268531637
161	0.2257219011
162	0.2244688977
163	0.2231704225
164	0.2227113301
165	0.2218598474
166	0.2213247472
167	0.2210086233
168	0.2198434527
169	0.2193689827
170	0.2191838861
171	0.2186500909
172	0.2181413009
173	0.2177425857
174	0.2174128312
175	0.2166559901
176	0.2155055159
177	0.2149842207
178	0.214645303
179	0.2141155108
180	0.213374238
181	0.2123133616
182	0.2111463306
183	0.2100613856
184	0.2093371353
185	0.2087032173
186	0.2084106323
187	0.2079108128
188	0.2075051957
189	0.2072042859
190	0.2056318942
191	0.2053691573
192	0.2049133636
193	0.2043831233
194	0.2040862585
195	0.2033368917
196	0.2030574233
197	0.2016532877
198	0.2009141288
199	0.2006439009
200	0.2002278883
201	0.1996533237
202	0.1993180341
203	0.1990424633
204	0.1987450528
205	0.1976462065
206	0.1973414814
207	0.1968199718
208	0.1961403763
209	0.1949205853
210	0.1946638543
211	0.1942202893
212	0.1939662172
213	0.193208048
214	0.1926905205
215	0.191611223
216	0.1913646297
217	0.1906716683
218	0.1900802343
219	0.1896213971
220	0.1891155718
221	0.1885356362
222	0.1874990074
223	0.1864298907
224	0.1852286917
225	0.1846701297
226	0.1843448075
227	0.1831089136
228	0.1828463713
229	0.1825294707
230	0.1822072058
231	0.1810333556
232	0.1796758947
233	0.1794436723
234	0.1788440295
235	0.1785728598
236	0.1782650788
237	0.1779780661
238	0.1776343565
239	0.1770513501
240	0.1766533564
241	0.1754184432
242	0.1751587919
243	0.1738869315
244	0.1732587696
245	0.172757538
246	0.1715842316
247	0.1710325275
248	0.1699774676
249	0.1693270243
250	0.1685869151
251	0.1682333459
252	0.1679942984
253	0.1672721
254	0.1670714112
255	0.1664048439
256	0.1660934615
257	0.1651035592
258	0.1648414628
259	0.1636422898
260	0.1633291171
261	0.1621053202
262	0.1613815546
263	0.1610731909
264	0.1600593034
265	0.1597728849
266	0.1588255696
267	0.1578476853
268	0.1571302388
269	0.1568319428
270	0.1565688181
271	0.1557096516
272	0.154879932
273	0.1542822005
274	0.1539981829
275	0.1534921336
276	0.1525803407
277	0.1516443679
278	0.1514071752
279	0.151191544
280	0.1508492938
281	0.1498849803
282	0.1491700027
283	0.1482468544
284	0.1480155307
285	0.1476793079
286	0.1474395694
287	0.1467155437
288	0.1465465528
289	0.1456809552
290	0.1454741209
291	0.1452540758
292	0.1450130164
293	0.1445328361
294	0.1436829141
295	0.1434035167
296	0.1431745396
297	0.1429804384
298	0.1427827948
299	0.141897791
300	0.1416464759
301	0.141401021
302	0.1404680471
303	0.1402487846
304	0.1397850308
305	0.1388977107
306	0.1381133603
307	0.1378355604
308	0.1376024497
309	0.1373710438
310	0.1366865046
311	0.1364850823
312	0.1356593205
313	0.1354873493
314	0.134683393
315	0.1342605538
316	0.1340945893
317	0.1338913601
318	0.1331827909
319	0.1324010504
320	0.1322089896
321	0.1320165707
322	0.1313279502
323	0.1311653512
324	0.1309454514
325	0.1302536862
326	0.1294740267
327	0.1292088638
328	0.1288107964
329	0.1286564481
330	0.1279928108
331	0.1271924998
332	0.1269352478
333	0.1267502278
334	0.1260087603
335	0.1258782968
336	0.1256967513
337	0.1255654316
338	0.1250660872
339	0.1245763195
340	0.1244472916
341	0.1243190917
342	0.1233900889
343	0.1231963007
344	0.1230035256
345	0.1223297716
346	0.1222037213
347	0.1214368844
348	0.1212879298
349	0.121099877
350	0.1209785914
351	0.1201246134
352	0.1198902178
353	0.1194020514
354	0.1186592842
355	0.1185404798
356	0.1184224588
357	0.1183052102
358	0.1181253427
359	0.117495197
360	0.1168819365
361	0.1167671459
362	0.116652856
363	0.1165393803
364	0.1160825409
365	0.1155404713
366	0.115079133
367	0.114970157
368	0.114860167
369	0.1142324867
370	0.1140828871
371	0.1139588759
372	0.1135852728
373	0.113074716
374	0.1129713583
375	0.1125012143
376	0.1123959531
377	0.1116148948
378	0.1114698666
379	0.1113069772
380	0.1111652248
381	0.1105717312
382	0.1099921995
383	0.1098704132
384	0.109694399
385	0.1095816069
386	0.1091008542
387	0.1090023896
388	0.1084839356
389	0.1083694657
390	0.1077398871
391	0.1076465961
392	0.1069227196
393	0.1068295338
394	0.1067378681
395	0.1061399391
396	0.1060468144
397	0.1055440115
398	0.1053821362
399	0.1052765698
400	0.1051866295
401	0.1050963069
402	0.1049833944
403	0.1047117075
404	0.1046109346
405	0.1040852263
406	0.103998204
407	0.1039117927
408	0.1035947976
409	0.1035085219
410	0.1034068272
411	0.1031467185
412	0.1026706523
413	0.1023652595
414	0.1019018126
415	0.1012802542
416	0.1011806596
417	0.1010742811
418	0.1005214801
419	0.1000777634
420	0.0999826276
421	0.09944373269
422	0.09934985338
423	0.09898413088
424	0.09850458763
425	0.09841470939
426	0.09808596057
427	0.09799384753
428	0.09741409662
429	0.09733667371
430	0.09725155965
431	0.09716475687
432	0.09672426052
433	0.09665090791
434	0.09630653906
435	0.09569599275
436	0.09561440828
437	0.09538041609
438	0.09529356121
439	0.09474867706
440	0.0946629579
441	0.09459030103
442	0.09451080313
443	0.09439189779
444	0.09432258106
445	0.09425182205
446	0.09395033479
447	0.0936128278
448	0.09349003607
449	0.0933754498
450	0.09330859105
451	0.09317487439
452	0.09287721083
453	0.09279877569
454	0.09272101384
455	0.09264391867
456	0.09257750375
457	0.09214812976
458	0.09207215536
459	0.09200036858
460	0.09150327673
461	0.09119764015
462	0.09086990818
463	0.09076285449
464	0.09066861764
465	0.09058359156
