iter	Passed	Remaining
0	53	79858
1	57	43096
2	61	30697
3	65	24455
4	69	20759
5	73	18312
6	77	16530
7	81	15192
8	85	14178
9	89	13377
10	93	12692
11	97	12136
12	101	11648
13	105	11223
14	109	10851
15	113	10534
16	117	10244
17	121	9994
18	125	9780
19	129	9600
20	133	9413
21	137	9236
22	141	9080
23	145	8953
24	149	8822
25	153	8706
26	157	8594
27	161	8492
28	165	8395
29	169	8310
30	173	8225
31	177	8137
32	181	8077
33	185	8008
34	189	7936
35	193	7868
36	197	7807
37	201	7760
38	206	7721
39	210	7670
40	214	7629
41	218	7584
42	222	7535
43	226	7490
44	230	7450
45	234	7407
46	238	7386
47	244	7389
48	248	7352
49	252	7315
50	256	7280
51	260	7246
52	264	7213
53	268	7189
54	272	7161
55	276	7131
56	280	7099
57	284	7071
58	288	7042
59	292	7019
60	296	6996
61	300	6977
62	304	6952
63	308	6926
64	312	6903
65	316	6879
66	320	6855
67	324	6835
68	328	6814
69	332	6794
70	336	6773
71	340	6759
72	344	6742
73	348	6720
74	352	6701
75	356	6682
76	360	6662
77	364	6646
78	368	6630
79	372	6615
80	376	6598
81	380	6583
82	384	6569
83	388	6552
84	392	6537
85	396	6527
86	401	6513
87	405	6504
88	409	6491
89	413	6477
90	417	6469
91	421	6457
92	425	6442
93	429	6427
94	433	6412
95	437	6398
96	441	6385
97	446	6385
98	450	6374
99	454	6361
100	458	6350
101	462	6338
102	466	6327
103	470	6317
104	474	6306
105	478	6297
106	483	6293
107	487	6282
108	491	6272
109	495	6261
110	499	6253
111	504	6246
112	508	6235
113	512	6225
114	516	6214
115	520	6204
116	523	6193
117	527	6182
118	531	6172
119	535	6163
120	539	6151
121	543	6142
122	547	6132
123	551	6120
124	555	6110
125	559	6100
126	563	6092
127	567	6085
128	571	6077
129	575	6067
130	579	6057
131	583	6049
132	587	6039
133	591	6031
134	595	6022
135	599	6014
136	603	6004
137	607	5994
138	611	5986
139	615	5977
140	619	5969
141	623	5961
142	627	5953
143	631	5944
144	635	5936
145	639	5927
146	643	5919
147	647	5911
148	651	5904
149	655	5897
150	659	5889
151	663	5881
152	667	5873
153	670	5864
154	675	5858
155	679	5850
156	683	5843
157	687	5835
158	691	5831
159	695	5823
160	699	5815
161	705	5825
162	709	5819
163	713	5813
164	718	5811
165	722	5804
166	726	5798
167	731	5797
168	735	5795
169	740	5793
170	745	5791
171	749	5785
172	753	5779
173	757	5772
174	761	5765
175	765	5760
176	770	5756
177	774	5750
178	778	5742
179	782	5739
180	786	5734
181	791	5731
182	795	5726
183	799	5720
184	804	5715
185	808	5711
186	813	5711
187	817	5704
188	821	5697
189	825	5689
190	829	5683
191	833	5677
192	837	5670
193	841	5662
194	845	5656
195	849	5648
196	853	5642
197	857	5635
198	860	5628
199	864	5621
200	869	5616
201	873	5609
202	877	5607
203	881	5600
204	885	5595
205	889	5588
206	893	5582
207	897	5575
208	901	5569
209	905	5562
210	909	5556
211	913	5550
212	917	5544
213	921	5536
214	925	5530
215	929	5523
216	933	5517
217	937	5510
218	941	5504
219	945	5500
220	949	5494
221	953	5488
222	957	5481
223	961	5474
224	965	5468
225	969	5463
226	973	5457
227	977	5451
228	980	5444
229	984	5438
230	988	5432
231	992	5425
232	996	5420
233	1000	5414
234	1004	5409
235	1008	5403
236	1012	5396
237	1016	5390
238	1020	5385
